









Frequency of observations in the selected location(s).:
Number of taxa: 	452

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	228.0	228.0	178.0	305.0	200.0	224.0	265.0	204.0	210.0	275.0	302.0	367.0	337.0	363.0	305.0	377.0	361.0	389.0	523.0	456.0	447.0	365.0	378.0	506.0	306.0	288.0	238.0	286.0	258.0	245.0	279.0	487.0	410.0	291.0	326.0	329.0	278.0	333.0	264.0	409.0	363.0	392.0	262.0	432.0	282.0	233.0	227.0	331.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0131579	0.0175439	0.0015	0.0065574	0.005	0.0089286	0.0075472	0.0147059	0.0190476	0.0109091	0.0728477	0.0463215	0.0148368	0.0055096	0.0	0.0015	0.0027701	0.0	0.001912	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002439	0.0034364	0.006135	0.0121581	0.0467626	0.036036	0.0151515	0.0220049	0.0192837	0.0204082	0.0229008	0.0231481	0.0106383	0.0015	0.0220264	0.0060423	
Ross's Goose	0.0015	0.0131579	0.0	0.0	0.0	0.0	0.0	0.0	0.0047619	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002551	0.0015	0.0	0.0	0.0015	0.0015	0.0	
Snow x Ross's Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	
Swan Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0034965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	
Greater White-fronted Goose	0.004386	0.004386	0.005618	0.0	0.0	0.0044643	0.0	0.0015	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0037879	0.0	0.0015	0.005102	0.0015	0.0015	0.0015	0.0015	0.0044053	0.0015	
Brant	0.0614035	0.0438596	0.0617978	0.0852459	0.06	0.0714286	0.0679245	0.0882353	0.0857143	0.0618182	0.0761589	0.0708447	0.074184	0.0688705	0.0622951	0.0636605	0.0554017	0.0616967	0.0630975	0.0548246	0.0134228	0.0082192	0.0	0.0015	0.0015	0.0034722	0.0084034	0.013986	0.0	0.0015	0.0015	0.0061602	0.0	0.0	0.006135	0.006079	0.0467626	0.0570571	0.1174242	0.0684597	0.0881543	0.0816327	0.0687023	0.0833333	0.0496454	0.0643777	0.0837004	0.081571	
Barnacle Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027548	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
Cackling Goose	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0015	0.0	0.0	0.0	
Barnacle x Cackling Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
Canada Goose	0.1973684	0.2587719	0.1910112	0.1672131	0.14	0.1741071	0.1584906	0.1862745	0.2904762	0.2327273	0.3377483	0.3378747	0.3204748	0.3057851	0.3213115	0.3580902	0.2797784	0.2313625	0.2237094	0.2565789	0.1879195	0.1972603	0.1322751	0.1146245	0.1405229	0.1215278	0.1386555	0.1818182	0.1860465	0.2326531	0.1827957	0.1950719	0.1682927	0.1993127	0.2668712	0.2887538	0.3992806	0.3123123	0.4356061	0.3422983	0.3443526	0.3086735	0.2862595	0.3125	0.2163121	0.2060086	0.2378855	0.2960725	
goose sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mute Swan	0.0877193	0.0745614	0.0898876	0.0786885	0.065	0.0580357	0.0490566	0.0784314	0.1333333	0.0545455	0.089404	0.0817439	0.0504451	0.0688705	0.0885246	0.1114058	0.0581717	0.066838	0.0497132	0.0526316	0.0514541	0.0191781	0.026455	0.027668	0.0326797	0.03125	0.0378151	0.0244755	0.0542636	0.0530612	0.0250896	0.063655	0.0365854	0.0412371	0.0429448	0.0547112	0.0647482	0.0540541	0.0568182	0.0660147	0.0385675	0.0484694	0.0343511	0.0555556	0.0460993	0.0429185	0.0837004	0.0876133	
Black Swan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035842	0.0	0.004878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Trumpeter Swan	0.0	0.004386	0.0	0.0015	0.0	0.0044643	0.0015	0.0015	0.0015	0.0036364	0.0	0.0	0.0	0.0015	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0022371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.003003	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	
Tundra Swan	0.0131579	0.0482456	0.0224719	0.0131148	0.0015	0.0133929	0.0015	0.0196078	0.0238095	0.0181818	0.0198675	0.0054496	0.0089021	0.0027548	0.0	0.0026525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003003	0.0037879	0.00489	0.0192837	0.0127551	0.0076336	0.0231481	0.0035461	0.0085837	0.0044053	0.0060423	
Trumpeter/Tundra Swan	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
swan sp.	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0027248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Egyptian Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0030675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Muscovy Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027548	0.0098361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
