









Frequency of observations in the selected location(s).:
Number of taxa: 	725

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	37552.0	28892.0	28728.0	36388.0	24973.0	34591.0	48314.0	28183.0	28999.0	32570.0	33725.0	47530.0	37774.0	40666.0	40394.0	56011.0	60205.0	61022.0	55163.0	55080.0	31969.0	30984.0	27525.0	32893.0	25675.0	23721.0	22308.0	32208.0	21689.0	21499.0	22824.0	33399.0	26073.0	25986.0	27124.0	32601.0	26377.0	29524.0	26213.0	35379.0	24871.0	22475.0	18139.0	23209.0	16928.0	16868.0	20216.0	28659.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.976E-4	5.447E-4	0.001564	0.0016137	0.0019619	0.0025841	6.621E-4	0.0026559	8.517E-4	0.0029806	0.0016137	0.0020931	0.0035489	8.98E-5	0.0014958	0.0010005	5.161E-4	5.828E-4	3.79E-5	0.0	0.0	1.131E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bar-headed Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.526E-4	0.0	0.0	0.0	5.51E-5	0.0	0.0	0.0	0.0	0.0	
Emperor Goose	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.016E-4	0.0	5.93E-5	0.0	0.0	
Snow Goose	0.0152588	0.0158175	0.0181008	0.015637	0.0086894	0.0078633	0.009935	0.0305503	0.0352081	0.0523488	0.0413047	0.0213339	0.0082596	0.0071313	0.0048274	0.0031422	0.0029732	0.0022615	0.0021572	0.0021968	0.0022835	0.002001	0.0013442	6.08E-4	5.842E-4	8.853E-4	8.517E-4	0.0010556	0.0016598	0.0018606	0.001402	0.0028743	0.0021095	0.0020396	0.0023595	0.0036502	0.0072032	0.0062661	0.0068668	0.0099211	0.0078405	0.0100111	0.012735	0.0154681	0.0161271	0.0180223	0.0172141	0.0142713	
Ross's Goose	0.0012782	0.0024574	9.398E-4	3.298E-4	4.405E-4	0.0014455	8.28E-5	0.0020225	0.0032415	0.0019957	0.0010675	7.364E-4	5.824E-4	0.0011312	0.0010398	4.642E-4	3.986E-4	3.278E-4	0.0010333	1.82E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.07E-5	0.0	3.387E-4	3.433E-4	3.109E-4	5.629E-4	0.0024917	0.001709	0.0010772	1.772E-4	2.371E-4	2.968E-4	1.047E-4	
Snow x Ross's Goose (hybrid)	1.065E-4	0.0	6.96E-5	2.75E-5	0.0	0.0	0.0	0.0	3.45E-5	6.14E-5	2.97E-5	6.31E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.131E-4	4.02E-5	4.45E-5	0.0	0.0	0.0	0.0	1.979E-4	0.0	
Snow/Ross's Goose	2.66E-5	6.92E-5	3.48E-5	2.75E-5	0.0	0.0	0.0	1.064E-4	3.448E-4	1.228E-4	1.483E-4	6.31E-5	2.65E-5	2.46E-5	2.48E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	4.45E-5	5.51E-5	8.62E-5	0.0015	0.0	9.89E-5	3.49E-5	
Graylag Goose	3.462E-4	5.538E-4	6.962E-4	6.596E-4	5.206E-4	3.758E-4	5.588E-4	7.451E-4	3.104E-4	5.22E-4	3.262E-4	3.577E-4	2.647E-4	3.934E-4	3.961E-4	9.641E-4	0.0013288	0.0011635	7.795E-4	3.813E-4	9.38E-5	1.291E-4	2.906E-4	2.432E-4	3.505E-4	1.686E-4	1.793E-4	6.21E-4	3.227E-4	1.395E-4	1.753E-4	2.695E-4	3.068E-4	3.463E-4	2.949E-4	3.988E-4	2.275E-4	2.71E-4	1.907E-4	3.109E-4	2.01E-4	4.45E-5	1.654E-4	3.016E-4	4.726E-4	0.0	3.463E-4	4.187E-4	
